namespace,name,kind,description,properties,example_json,url
CFX,AreYouThereRequest,Request,"Allows any CFX endpoint to determine if another particular CFX endpoint is present on a CFX network. The response sends basic information about the endpoint, including its CFX Handle, and network hostname / address.",AreYouThereRequest:  | CFXHandle: The handle of the endpoint to which the request is directed,"{
  ""CFXHandle"": ""SMTPlus.Model_21232.SN23123""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_AreYouThereRequest.htm
CFX,AreYouThereResponse,Response,"Allows any CFX endpoint to determine if another particular CFX endpoint is present on a CFX network. The response sends basic information about the endpoint, including its CFX Handle, and network hostname / address.",AreYouThereResponse: Default constructor | CFXHandle: The handle of the endpoint that is responding | RequestNetworkUri: The network address / Uri to be used for requests to this endpoint | RequestTargetAddress: The AMQP 1.0 target address to be used for requests to this endpoint | Result: The result of the request,"{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": null
  },
  ""CFXHandle"": ""SMTPlus.Model_21232.SN23123"",
  ""RequestNetworkUri"": ""amqp://host33/"",
  ""RequestTargetAddress"": ""/queue/SN23123""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_AreYouThereResponse.htm
CFX,EndpointConnected,Event/Notification,Sent when an Endpoint joins a CFX network after it has been established. Provides the same information as the response to the AreYouThereRequest message.,EndpointConnected:  | CFXHandle: The handle of the endpoint that is responding | RequestNetworkUri: The network address / Uri to be used for requests to this endpoint | RequestTargetAddress: The AMQP 1.0 target address to be used for requests to this endpoint,"{
  ""CFXHandle"": ""SMTPlus.Model_21232.SN23123"",
  ""RequestNetworkUri"": ""amqp://host33/"",
  ""RequestTargetAddress"": ""/queue/SN23123""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_EndpointConnected.htm
CFX,EndpointShuttingDown,Event/Notification,Sent when an endpoint is about to shut down and disconnect from a CFX network,EndpointShuttingDown:  | CFXHandle: The handle of the endpoint that is shutting down,"{
  ""CFXHandle"": ""SMTPlus.Model_21232.SN23123""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_EndpointShuttingDown.htm
CFX,GetEndpointInformationRequest,Request,"Requests detailed information about a single endpoint, as specified by its CFX Handle.",GetEndpointInformationRequest:  | CFXHandle: The handle of the endpoint about which the sender wishes to obtain information.,"{
  ""CFXHandle"": ""SMTPlus.Model_21232.SN23123""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_GetEndpointInformationRequest.htm
CFX,GetEndpointInformationResponse,Response,"Allows any CFX endpoint to request the capabilities of a specified single endpoint. The response includes information about the endpoint, including its CFX Handle, and network hostname / address.",GetEndpointInformationResponse: Default constructor | EndpointInformation: Dynamic structure that describes the details of this endpoint. | Result: The result of the request,"{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": null
  },
  ""EndpointInformation"": {
    ""CFXHandle"": ""SMTPlus.Model_21232.SN23123"",
    ""CFXVersion"": ""1.0"",
    ""RequestNetworkUri"": ""amqp://host55:5688/"",
    ""RequestTargetAddress"": ""/queue/SN23123"",
    ""UniqueIdentifier"": ""UID1111111111111111"",
    ""FriendlyName"": ""SMD Printer 23123"",
    ""Vendor"": ""SMT Plus"",
    ""ModelNumber"": ""Model_11111"",
    ""SerialNumber"": ""SNSN23123"",
    ""SoftwareVersion"": ""18.5.4"",
    ""FirmwareVersion"": ""1.6.13"",
    ""OperatingSystem"": ""UbuntuLinux"",
    ""OperatingSystemPlatform"" : ""Platform64bit"",
    ""OperatingSystemVersion"" : ""18.04.4"",
    ""SupportedPCBDimensions"": {
      ""MinimumLength"": 10.0,
      ""MaximumLength"": 1000.0,
      ""MinimumWidth"": 10.0,
      ""MaximumWidth"": 1000.0,
      ""MinimumHeight"": 0.0,
      ""MaximumHeight"": 50.0,
      ""MinimumWeight"": 0.0,
      ""MaximumWeight"": 1000.0,
      ""MinimumThickness"": 0.5,
      ""MaximumThickness"": 10.0
    },
    ""Stages"": [
      {
        ""Stage"": {
          ""StageSequence"": 1,
          ""StageName"": ""INBOUND BUFFER"",
          ""StageType"": ""Buffer""
        }
      },
      {
        ""Stage"": {
          ""StageSequence"": 2,
          ""StageName"": ""WORK STAGE 1"",
          ""StageType"": ""Work""
        }
      },
      {
        ""Stage"": {
          ""StageSequence"": 3,
          ""StageName"": ""OUTBOUND BUFFER"",
          ""StageType"": ""Buffer""
        }
      }
    ],
    ""NumberOfLanes"": 1,
    ""HermesInformation"": {
      ""Enabled"": true,
      ""Version"": ""1.0""
    },
    ""OperatingRequirements"": {
      ""MinimumHumidity"": 0.0,
      ""MaximumHumidity"": 0.8,
      ""MinimumTemperature"": -1.0,
      ""MaximumTemperature"": 40.0
    },
    ""SupportedTopics"": [
      {
        ""TopicName"": ""CFX.Production"",
        ""TopicSupportType"": ""PublisherConsumer"",
        ""SupportedMessages"": []
      },
      {
        ""TopicName"": ""CFX.Production.Application"",
        ""TopicSupportType"": ""Publisher"",
        ""SupportedMessages"": []
      },
      {
        ""TopicName"": ""CFX.ResourcePerformance"",
        ""TopicSupportType"": ""Publisher"",
        ""SupportedMessages"": []
      }
    ],
    ""SleepStates"": [
        {
            ""SleepName"": ""Awake"",            
            ""PowerSaving"": 0.0,
            ""WakeupTime"": ""00:00:00""
        },
        {
            ""SleepName"": ""Shallow"",            
            ""PowerSaving"": 10.0,
            ""WakeupTime"": ""00:00:30""
        },
        {
            ""SleepName"": ""Sleep"",            
            ""PowerSaving"": 60.0,
            ""WakeupTime"": ""00:02:00""
        },
        {
            ""SleepName"": ""Hibernate"",            
            ""PowerSaving"": 95.0,
            ""WakeupTime"": ""00:10:00""
        }
    ]
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_GetEndpointInformationResponse.htm
CFX,Heartbeat,Event/Notification,All endpoints are obligated to publish a Heartbeast message on all Publish type no less than once every 5 minutes. The class automatically performs this function for you when using the CFX SDK.,Heartbeat:  | ActiveFaults: ** NOTE: ADDED in CFX 1.7 ** Any faults currently active on this endpoint. Faults should be repeated here until cleared. Leaving this parameter as null means that active faults are not known. Setting it to an empty List implies positive knowledge that there are no active faults. | ActiveRecipes: ** NOTE: ADDED in CFX 1.7 ** Any recipes currently active on this endpoint. Recipes may be specified either using their identifiers or by including recipe details such as expected cycle times depending on what information the endpoing is able to communicate. Leaving this parameter as null means that active recipes are not known. Setting it to an empty List implies positive knowledge that there are no active recipes. Multiple recipes may be active at once on a given endpoint. | CFXHandle: The handle of the endpoint that is publishing the Heartbeat. | HeartbeatFrequency: The amount of time to expect between Heartbeast messasges for this endpoint,"{
    ""CFXHandle"": ""SMTPlus.Model_21232.SN23123"",
    ""HeartbeatFrequency"": ""00:01:00""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Heartbeat.htm
CFX,NotSupportedResponse,Response,Allows a CFX endpoint to indicate to the sender of a request that it is not able to answer to this particular request There can be several reasons : - Unknown request/response message : appeared in a more recent version of CFX than the one used by the endp,NotSupportedResponse: Default constructor | RequestResult: The result of the request,"{
  ""RequestResult"": {
    ""Result"": ""Failed"",
    ""ResultCode"": 0,
    ""Message"": ""Unknown message""
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_NotSupportedResponse.htm
CFX,WhoIsThereRequest,Request,"Allows any CFX endpoint to discover all of the other endpoints participating in this CFX network, and their capabilities. All other CFX endpoints matching the specified criteria must then respond to this broadcast.","WhoIsThereRequest: Default Constructor | SupportedTopicQueryType: If the sender is interested only in certain types of endpoints, tbis property specifies how SupportedTopics list will be interpreted. | SupportedTopics: An optional list of CFX topics. Only machines supporting any or all of these CFX topics will respond to this broadcast.","{
  ""SupportedTopicQueryType"": ""All"",
  ""SupportedTopics"": [
    {
      ""TopicName"": ""CFX.Production"",
      ""TopicSupportType"": ""Publisher"",
      ""SupportedMessages"": []
    },
    {
      ""TopicName"": ""CFX.Production.Appplication"",
      ""TopicSupportType"": ""Publisher"",
      ""SupportedMessages"": []
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_WhoIsThereRequest.htm
CFX,WhoIsThereResponse,Response,"Allows any CFX endpoint to discover all of the other endpoints participating in this CFX network, and their capabilities. All other CFX endpoints must then respond to this broadcast, providing information about themselves.",WhoIsThereResponse: Default Constructor | CFXHandle: The handle of the endpoint that is responding | RequestNetworkUri: The network address / Uri to be used for requests to this endpoint | RequestTargetAddress: The AMQP 1.0 target address to be used for requests to this endpoint | Result: Result of the request.,"{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": null
  },
  ""CFXHandle"": ""SMTPlus.Model_21232.SN23123"",
  ""RequestNetworkUri"": ""amqp://host33/"",
  ""RequestTargetAddress"": ""/queue/SN23123""
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_WhoIsThereResponse.htm
